objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,Website 
coll001,test001.jpg,,,"Administration Building, University of Idaho, No. 30",Pacific Photo Co.,1910-10-14,"Photographic postcard of the University of Idaho administration building in Moscow, Idaho.",universities;buildings;campuses;picture postcards,"Moscow, Idaho",46.725562,-117.009633,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives",pg_9_12_01bl,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,
Shepard_greets_students,https://newspapers.digitalnc.org/lccn/2015236599/1957-06-10/ed-1/seq-1/	,,,Face Crises Realistically: Thurhman Flee Conformity Embrace: Alston,NCCU Campus Echo,1957-06-10,"Article discussing commencment address ""https://newspapers.digitalnc.org/lccn/2015236599/1957-06-10/ed-1/seq-1/	""",graduation; commencment speaker; ,"Durham, North Carolina ",,,,,,,,,,https://newspapers.digitalnc.org/lccn/2015236599/1957-06-10/ed-1/seq-1/
coll003,,,,,,,,,,,,,,,,,,,
coll004,,,,,,,,,,,,,,,,,,,
coll005,,,,,,,,,,,,,,,,,,,
coll006,,,,,,,,,,,,,,,,,,,
coll007,,,,,,,,,,,,,,,,,,,
coll008,,,,,,,,,,,,,,,,,,,
coll009,,,,,,,,,,,,,,,,,,,
coll010,,,,,,,,,,,,,,,,,,,
coll011,,,,,,,,,,,,,,,,,,,
coll012,,,,,,,,,,,,,,,,,,,
coll013,,,,,,,,,,,,,,,,,,,